g_g810	x	y	z_z811c1	z_z811c2	z_z811c3	z_z811c4
1	-490395.90625	2708495	1	85.25706	1252.909	16.02584
1	-489395.90625	2708495	1	124.8148	1250.247	27.91647
5	-488395.90625	2708495	5	73.69491	1247.391	10.83813
1	-487395.90625	2708495	1	18.43495	1244.354	 0.0
1	-486395.90625	2708495	1	 0.0	1241.151	 0.0
1	-485395.90625	2708495	1	-1	1237.798	 0.0
1	-484395.90625	2708495	1	-1	1234.312	 0.0
1	-483395.90625	2708495	1	-1	1230.708	 0.0
4	-482395.90625	2708495	4	-1	1227.007	 0.0
4	-481395.90625	2708495	4	-1	1223.226	 0.0
4	-480395.90625	2708495	4	-1	1219.385	 0.0
4	-479395.90625	2708495	4	-1	1215.503	 0.0
4	-478395.90625	2708495	4	-1	1211.598	 0.0
3	-477395.90625	2708495	3	242.8787	1207.69	16.0615
3	-476395.90625	2708495	3	257.0574	1203.798	21.14898
2	-475395.90625	2708495	2	102.3665	1199.939	 0.0
1	-474395.90625	2708495	1	72.29958	1196.132	7.031291
2	-473395.90625	2708495	2	246.0375	1192.393	2.819212
3	-472395.90625	2708495	3	257.3666	1188.739	8.452167
3	-471395.90625	2708495	3	135	1185.184	0.1012855
3	-470395.90625	2708495	3	354.5362	1181.743	8.217058
3	-493395.90625	2707495	3	87.1237	1261.471	37.67614
3	-492395.90625	2707495	3	23.13363	1259.4	16.14736
3	-491395.90625	2707495	3	77.59092	1257.106	40.14611
2	-490395.90625	2707495	2	87.30219	1254.598	13.44235
2	-489395.90625	2707495	2	99.9341	1251.886	12.65953
5	-488395.90625	2707495	5	92.00955	1248.981	15.91685
1	-487395.90625	2707495	1	61.14434	1245.896	4.000353
1	-486395.90625	2707495	1	-1	1242.646	 0.0
1	-485395.90625	2707495	1	-1	1239.247	 0.0
1	-484395.90625	2707495	1	18.43495	1235.715	 0.0
1	-483395.90625	2707495	1	-1	1232.066	 0.0
1	-482395.90625	2707495	1	-1	1228.32	 0.0
4	-481395.90625	2707495	4	-1	1224.494	 0.0
4	-480395.90625	2707495	4	-1	1220.608	 0.0
4	-479395.90625	2707495	4	-1	1216.679	 0.0
4	-478395.90625	2707495	4	-1	1212.728	 0.0
3	-477395.90625	2707495	3	225	1208.771	0.1012855
3	-476395.90625	2707495	3	251.8083	1204.829	20.4234
3	-475395.90625	2707495	3	102.6698	1200.919	 0.0
1	-474395.90625	2707495	1	120.2032	1197.058	16.20998
3	-473395.90625	2707495	3	168.8785	1193.264	8.477473
1	-472395.90625	2707495	1	246.0375	1189.551	2.819212
1	-471395.90625	2707495	1	116.2814	1185.935	12.72649
3	-470395.90625	2707495	3	158.5948	1182.429	9.52695
3	-469395.90625	2707495	3	312.9546	1179.046	2.835487
3	-468395.90625	2707495	3			
3	-492395.90625	2706495	3	101.0579	1261.5	48.09802
3	-491395.90625	2706495	3	25.27772	1259.144	30.84484
2	-490395.90625	2706495	2	25.58637	1256.576	23.04849
2	-489395.90625	2706495	2	21.06595	1253.805	19.88361
3	-488395.90625	2706495	3	92.02136	1250.843	17.69
5	-487395.90625	2706495	5	54.24611	1247.703	4.403919
1	-486395.90625	2706495	1	54.46232	1244.399	0.6160724
1	-485395.90625	2706495	1	45	1240.946	0.1012855
1	-484395.90625	2706495	1	71.56505	1237.36	 0.0
1	-483395.90625	2706495	1	45	1233.66	 0.0
1	-482395.90625	2706495	1	-1	1229.861	 0.0
4	-481395.90625	2706495	4	-1	1225.983	 0.0
4	-480395.90625	2706495	4	-1	1222.044	 0.0
4	-479395.90625	2706495	4	-1	1218.062	 0.0
4	-478395.90625	2706495	4	-1	1214.055	 0.0
3	-477395.90625	2706495	3	-1	1210.043	 0.0
1	-476395.90625	2706495	1	256.382	1206.043	35.22594
1	-475395.90625	2706495	1	135	1202.073	16.72659
1	-474395.90625	2706495	1	46.15968	1198.151	18.43119
1	-473395.90625	2706495	1	205.4928	1194.291	22.69556
1	-472395.90625	2706495	1	325.3389	1190.51	14.89295
1	-471395.90625	2706495	1	352.8157	1186.823	3.614651
3	-470395.90625	2706495	3	166.1672	1183.242	14.36901
3	-469395.90625	2706495	3	240.3763	1179.78	4.194318
3	-492395.90625	2705495	3	149.4898	1263.709	18.00416
2	-491395.90625	2705495	2	102.5739	1261.289	34.56784
2	-490395.90625	2705495	2	61.28492	1258.657	18.14991
2	-489395.90625	2705495	2	60.14571	1255.825	13.68918
3	-488395.90625	2705495	3	92.23698	1252.803	17.75735
5	-487395.90625	2705495	5	38.4802	1249.605	3.56347
5	-486395.90625	2705495	5	51.58194	1246.243	5.28674
5	-485395.90625	2705495	5	 0.0	1242.734	0.2864765
1	-484395.90625	2705495	1	-1	1239.094	 0.0
1	-483395.90625	2705495	1	45	1235.338	 0.0
1	-482395.90625	2705495	1	45	1231.485	 0.0
1	-481395.90625	2705495	1	-1	1227.552	 0.0
4	-480395.90625	2705495	4	-1	1223.558	 0.0
4	-479395.90625	2705495	4	-1	1219.52	 0.0
4	-478395.90625	2705495	4	-1	1215.457	 0.0
3	-477395.90625	2705495	3	-1	1211.387	 0.0
4	-476395.90625	2705495	4	189.7188	1207.327	12.92797
1	-475395.90625	2705495	1	153.435	1203.295	0.6405596
1	-474395.90625	2705495	1	199.9831	1199.307	2.190075
3	-473395.90625	2705495	3	212.5209	1195.379	12.45583
1	-472395.90625	2705495	1	237.8244	1191.527	12.57116
3	-471395.90625	2705495	3	135	1187.765	0.1012855
3	-470395.90625	2705495	3	-1	1184.106	 0.0
3	-469395.90625	2705495	3	182.2457	1180.561	20.94655
3	-468395.90625	2705495	3			
3	-492395.90625	2704495	3	85.42608	1266.02	3.587731
2	-491395.90625	2704495	2	66.33686	1263.532	36.08362
3	-490395.90625	2704495	3	32.93869	1260.835	22.92813
2	-489395.90625	2704495	2	91.4232	1257.939	21.93091
2	-488395.90625	2704495	2	104.8084	1254.855	12.67887
3	-487395.90625	2704495	3	85.88777	1251.595	10.85436
5	-486395.90625	2704495	5	63.43495	1248.174	4.474982
5	-485395.90625	2704495	5	54.46232	1244.607	3.077518
5	-484395.90625	2704495	5	-1	1240.909	 0.0
1	-483395.90625	2704495	1	-1	1237.096	 0.0
1	-482395.90625	2704495	1	71.56505	1233.187	 0.0
1	-481395.90625	2704495	1	45	1229.197	 0.0
4	-480395.90625	2704495	4	-1	1225.146	 0.0
4	-479395.90625	2704495	4	-1	1221.05	 0.0
4	-478395.90625	2704495	4	-1	1216.928	 0.0
4	-477395.90625	2704495	4	-1	1212.798	 0.0
4	-476395.90625	2704495	4	120.6997	1208.675	4.706511
4	-475395.90625	2704495	4	-1	1204.579	 0.0
1	-474395.90625	2704495	1	270	1200.523	0.2864765
3	-473395.90625	2704495	3	-1	1196.526	 0.0
1	-472395.90625	2704495	1	354.5881	1192.6	 0.0
1	-471395.90625	2704495	1	281.3099	1188.76	0.3651854
1	-470395.90625	2704495	1	315	1185.019	0.2025703
3	-469395.90625	2704495	3	231.9811	1181.388	4.987427
3	-468395.90625	2704495	3	288.4349	1177.878	5.867916
2	-491395.90625	2703495	2	124.1749	1265.867	34.858
2	-490395.90625	2703495	2	79.14989	1263.102	16.98585
2	-489395.90625	2703495	2	24.37647	1260.139	19.35734
2	-488395.90625	2703495	2	104.6488	1256.99	28.31415
2	-487395.90625	2703495	2	52.78105	1253.668	16.02699
1	-486395.90625	2703495	1	87.6627	1250.185	6.989695
1	-485395.90625	2703495	1	64.0256	1246.557	3.103968
5	-484395.90625	2703495	5	47.72631	1242.799	2.128428
1	-483395.90625	2703495	1	-1	1238.928	 0.0
1	-482395.90625	2703495	1	-1	1234.96	 0.0
5	-481395.90625	2703495	5	-1	1230.912	 0.0
1	-480395.90625	2703495	1	-1	1226.802	 0.0
4	-479395.90625	2703495	4	-1	1222.646	 0.0
4	-478395.90625	2703495	4	-1	1218.464	 0.0
4	-477395.90625	2703495	4	-1	1214.271	 0.0
4	-476395.90625	2703495	4	-1	1210.084	 0.0
1	-475395.90625	2703495	1	-1	1205.92	 0.0
4	-474395.90625	2703495	4	241.3895	1201.796	1.548994
1	-473395.90625	2703495	1	163.831	1197.725	6.16202
1	-472395.90625	2703495	1	225	1193.723	0.1012855
1	-471395.90625	2703495	1	154.2127	1189.803	13.8802
1	-470395.90625	2703495	1	249.7751	1185.977	2.897904
1	-469395.90625	2703495	1	225	1182.257	0.1012855
3	-468395.90625	2703495	3	234.4623	1178.653	3.077518
3	-467395.90625	2703495	3	323.3659	1175.174	6.92754
2	-491395.90625	2702495	2	74.0546	1268.283	25.32385
2	-490395.90625	2702495	2	134.6193	1265.447	28.01787
3	-489395.90625	2702495	3	7.001267	1262.416	32.86518
2	-488395.90625	2702495	2	90.45472	1259.2	32.21174
2	-487395.90625	2702495	2	32.75767	1255.812	10.85436
3	-486395.90625	2702495	3	70.55997	1252.266	15.13181
5	-485395.90625	2702495	5	40.91438	1248.575	2.840892
5	-484395.90625	2702495	5	59.62087	1244.756	2.406116
1	-483395.90625	2702495	1	18.43495	1240.824	0.2264803
1	-482395.90625	2702495	1	45	1236.796	0.3038539
1	-481395.90625	2702495	1	71.56505	1232.688	 0.0
1	-480395.90625	2702495	1	-1	1228.517	 0.0
4	-479395.90625	2702495	4	-1	1224.3	 0.0
4	-478395.90625	2702495	4	-1	1220.055	 0.0
4	-477395.90625	2702495	4	-1	1215.798	 0.0
4	-476395.90625	2702495	4	-1	1211.546	 0.0
4	-475395.90625	2702495	4	-1	1207.313	 0.0
4	-474395.90625	2702495	4	-1	1203.117	 0.0
1	-473395.90625	2702495	1	225	1198.972	 0.0
1	-472395.90625	2702495	1	29.0546	1194.892	 0.0
1	-471395.90625	2702495	1	134.5524	1190.889	 0.0
3	-470395.90625	2702495	3	184.0593	1186.977	10.9921
3	-469395.90625	2702495	3	217.5284	1183.165	6.206932
3	-468395.90625	2702495	3	263.5302	1179.464	6.957244
3	-467395.90625	2702495	3	249.3046	1175.882	11.36659
2	-491395.90625	2701495	2	66.97451	1270.768	23.49103
2	-490395.90625	2701495	2	119.2739	1267.859	34.91019
2	-489395.90625	2701495	2	3.389193	1264.757	36.50308
2	-488395.90625	2701495	2	89.1186	1261.473	22.11181
2	-487395.90625	2701495	2	44.5117	1258.018	31.89304
2	-486395.90625	2701495	2	75.91743	1254.406	20.55709
5	-485395.90625	2701495	5	33.15792	1250.651	6.389643
1	-484395.90625	2701495	1	66.16126	1246.769	3.363021
1	-483395.90625	2701495	1	66.03751	1242.775	1.41046
5	-482395.90625	2701495	5	-1	1238.685	 0.0
1	-481395.90625	2701495	1	-1	1234.515	 0.0
1	-480395.90625	2701495	1	71.56505	1230.282	 0.0
4	-479395.90625	2701495	4	-1	1226.003	 0.0
4	-478395.90625	2701495	4	-1	1221.694	 0.0
4	-477395.90625	2701495	4	-1	1217.372	 0.0
4	-476395.90625	2701495	4	-1	1213.052	 0.0
4	-475395.90625	2701495	4	-1	1208.75	 0.0
4	-474395.90625	2701495	4	-1	1204.481	 0.0
3	-473395.90625	2701495	3	-1	1200.26	 0.0
1	-472395.90625	2701495	1	49.08562	1196.099	4.256982
1	-471395.90625	2701495	1	22.34065	1192.012	11.16166
1	-470395.90625	2701495	1	358.8466	1188.011	10.55254
3	-469395.90625	2701495	3	357.2737	1184.105	4.507831
1	-468395.90625	2701495	1	315	1180.305	0.1012855
3	-467395.90625	2701495	3	249.6816	1176.618	27.88676
2	-466395.90625	2701495	2	82.87498	1173.052	7.771342
3	-491395.90625	2700495	3	103.6959	1273.565	17.02493
3	-490395.90625	2700495	3	358.5174	1270.574	27.98742
3	-489395.90625	2700495	3	151.728	1267.392	18.66477
2	-488395.90625	2700495	2	153.5609	1264.03	51.82176
2	-487395.90625	2700495	2	22.33114	1260.499	25.50232
2	-486395.90625	2700495	2	40.18645	1256.813	26.82101
2	-485395.90625	2700495	2	34.42648	1252.987	7.68128
1	-484395.90625	2700495	1	55.20397	1249.034	5.131899
5	-483395.90625	2700495	5	36.46923	1244.97	4.089788
1	-482395.90625	2700495	1	-1	1240.811	 0.0
1	-481395.90625	2700495	1	71.56505	1236.572	0.2264803
5	-480395.90625	2700495	5	157.6199	1232.27	 0.0
4	-479395.90625	2700495	4	-1	1227.921	 0.0
4	-478395.90625	2700495	4	-1	1223.54	 0.0
4	-477395.90625	2700495	4	-1	1219.145	 0.0
4	-476395.90625	2700495	4	-1	1214.75	 0.0
4	-475395.90625	2700495	4	-1	1210.37	 0.0
4	-474395.90625	2700495	4	-1	1206.019	 0.0
3	-473395.90625	2700495	3	303.6901	1201.712	1.032802
1	-472395.90625	2700495	1	323.9149	1197.463	4.619282
1	-471395.90625	2700495	1	225.4774	1193.281	11.97713
1	-470395.90625	2700495	1	140.2503	1189.18	18.18094
1	-469395.90625	2700495	1	188.1301	1185.169	15.79317
1	-468395.90625	2700495	1	-1	1181.258	 0.0
1	-467395.90625	2700495	1	225	1177.453	1.215245
3	-466395.90625	2700495	3	178.4234	1173.763	7.761676
2	-465395.90625	2700495	2	188.6156	1170.191	2.38904
2	-464395.90625	2700495	2	227.7481	1166.743	12.47436
2	-463395.90625	2700495	2	259.5923	1163.42	10.58222
2	-490395.90625	2699495	2	29.30508	1272.829	12.52671
2	-489395.90625	2699495	2	53.21482	1269.58	26.89643
2	-488395.90625	2699495	2	74.69234	1266.153	25.55788
2	-487395.90625	2699495	2	141.3644	1262.559	24.81911
2	-486395.90625	2699495	2	26.77752	1258.812	24.33476
2	-485395.90625	2699495	2	27.04383	1254.926	11.34817
1	-484395.90625	2699495	1	57.20047	1250.914	7.623028
1	-483395.90625	2699495	1	51.5198	1246.792	3.56347
1	-482395.90625	2699495	1	46.90915	1242.576	3.037407
1	-481395.90625	2699495	1	83.65981	1238.279	 0.0
1	-480395.90625	2699495	1	90	1233.92	 0.0
4	-479395.90625	2699495	4	-1	1229.513	 0.0
4	-478395.90625	2699495	4	-1	1225.074	 0.0
4	-477395.90625	2699495	4	-1	1220.618	 0.0
4	-476395.90625	2699495	4	-1	1216.16	 0.0
4	-475395.90625	2699495	4	-1	1211.716	 0.0
4	-474395.90625	2699495	4	-1	1207.298	 0.0
4	-473395.90625	2699495	4	225	1202.921	 0.0
1	-472395.90625	2699495	1	141.8883	1198.597	14.85895
3	-471395.90625	2699495	3	-1	1194.338	 0.0
3	-470395.90625	2699495	3	-1	1190.154	 0.0
3	-469395.90625	2699495	3	-1	1186.056	 0.0
1	-468395.90625	2699495	1	295.6022	1182.052	7.579528
3	-467395.90625	2699495	3	-1	1178.151	 0.0
3	-466395.90625	2699495	3	260.5679	1174.357	21.25649
1	-465395.90625	2699495	1	345.7163	1170.677	26.17146
2	-464395.90625	2699495	2	337.2856	1167.114	6.647187
2	-463395.90625	2699495	2			
3	-462395.90625	2699495	3			
2	-490395.90625	2698495	2	102.0023	1275.354	25.96117
2	-489395.90625	2698495	2	14.22812	1272.03	24.35316
2	-488395.90625	2698495	2	17.56027	1268.53	27.37889
2	-487395.90625	2698495	2	35.69006	1264.865	18.15015
2	-486395.90625	2698495	2	81.42009	1261.049	19.81318
2	-485395.90625	2698495	2	80.71645	1257.095	14.75925
2	-484395.90625	2698495	2	29.33184	1253.017	8.561643
1	-483395.90625	2698495	1	75.84659	1248.831	8.432692
5	-482395.90625	2698495	5	55.61966	1244.55	3.293986
1	-481395.90625	2698495	1	80.75389	1240.189	3.117109
1	-480395.90625	2698495	1	3.012788	1235.766	 0.0
4	-479395.90625	2698495	4	-1	1231.294	 0.0
4	-478395.90625	2698495	4	-1	1226.789	 0.0
4	-477395.90625	2698495	4	-1	1222.266	 0.0
4	-476395.90625	2698495	4	-1	1217.739	 0.0
4	-475395.90625	2698495	4	-1	1213.223	 0.0
4	-474395.90625	2698495	4	-1	1208.73	 0.0
4	-473395.90625	2698495	4	-1	1204.275	 0.0
3	-472395.90625	2698495	3	-1	1199.868	 0.0
3	-471395.90625	2698495	3	270	1195.522	0.2864765
3	-470395.90625	2698495	3	3.814075	1191.246	5.367644
5	-469395.90625	2698495	5	267.2073	1187.051	11.59853
3	-468395.90625	2698495	3	-1	1182.944	 0.0
3	-467395.90625	2698495	3	289.9831	1178.933	1.676096
1	-466395.90625	2698495	1	302.1167	1175.024	18.8254
3	-465395.90625	2698495	3	261.8699	1171.222	10.02499
2	-464395.90625	2698495	2	288.8432	1167.53	18.40941
2	-463395.90625	2698495	2	253.272	1163.951	13.43385
3	-462395.90625	2698495	3			
2	-489395.90625	2697495	2	99.37547	1274.482	15.63305
3	-488395.90625	2697495	3	122.4285	1270.908	37.65259
2	-487395.90625	2697495	2	118.5728	1267.172	31.23039
2	-486395.90625	2697495	2	356.389	1263.286	25.79144
2	-485395.90625	2697495	2	65.41843	1259.264	14.48943
2	-484395.90625	2697495	2	97.43141	1255.12	14.62475
2	-483395.90625	2697495	2	9.688787	1250.868	5.936462
2	-482395.90625	2697495	2	52.94347	1246.522	4.38887
5	-481395.90625	2697495	5	74.42746	1242.099	4.525851
1	-480395.90625	2697495	1	-1	1237.611	 0.0
4	-479395.90625	2697495	4	-1	1233.074	 0.0
4	-478395.90625	2697495	4	-1	1228.503	 0.0
4	-477395.90625	2697495	4	-1	1223.913	 0.0
4	-476395.90625	2697495	4	-1	1219.317	 0.0
4	-475395.90625	2697495	4	-1	1214.729	 0.0
4	-474395.90625	2697495	4	-1	1210.162	 0.0
1	-473395.90625	2697495	1	-1	1205.628	 0.0
3	-472395.90625	2697495	3	329.0363	1201.139	0.6160724
1	-471395.90625	2697495	1	281.6593	1196.706	20.95307
3	-470395.90625	2697495	3	246.1814	1192.338	8.624199
5	-469395.90625	2697495	5	270	1188.045	0.2864765
3	-468395.90625	2697495	3	-1	1183.835	 0.0
1	-467395.90625	2697495	1	308.8845	1179.715	5.685719
3	-466395.90625	2697495	3	175.827	1175.69	16.27908
2	-465395.90625	2697495	2	234.8939	1171.765	7.25702
2	-464395.90625	2697495	2	228.2336	1167.944	17.40066
2	-463395.90625	2697495	2	267.6627	1164.229	6.989695
3	-462395.90625	2697495	3	326.6115	1160.621	7.505104
2	-461395.90625	2697495	2			
2	-488395.90625	2696495	2	73.79556	1273.268	41.1356
2	-487395.90625	2696495	2	70.52579	1269.46	19.22359
2	-486395.90625	2696495	2	140.9806	1265.505	20.46873
1	-485395.90625	2696495	1	116.7072	1261.415	12.6959
1	-484395.90625	2696495	1	347.8491	1257.205	14.96192
2	-483395.90625	2696495	2	35.49191	1252.887	19.99418
2	-482395.90625	2696495	2	76.70143	1248.477	15.77909
5	-481395.90625	2696495	5	53.00473	1243.99	6.517797
5	-480395.90625	2696495	5	45	1239.438	0.4051356
1	-479395.90625	2696495	1	-1	1234.837	 0.0
4	-478395.90625	2696495	4	-1	1230.201	 0.0
4	-477395.90625	2696495	4	-1	1225.544	 0.0
4	-476395.90625	2696495	4	-1	1220.88	 0.0
4	-475395.90625	2696495	4	-1	1216.221	 0.0
4	-474395.90625	2696495	4	-1	1211.579	 0.0
1	-473395.90625	2696495	1	-1	1206.968	 0.0
5	-472395.90625	2696495	5	278.8418	1202.397	6.495326
3	-471395.90625	2696495	3	83.4802	1197.877	5.033029
1	-470395.90625	2696495	1	282.8356	1193.418	11.45099
3	-469395.90625	2696495	3	-1	1189.029	 0.0
1	-468395.90625	2696495	1	-1	1184.716	 0.0
3	-467395.90625	2696495	3	194.1911	1180.487	12.64473
3	-466395.90625	2696495	3	304.992	1176.346	1.747918
3	-465395.90625	2696495	3	330.6584	1172.299	13.62237
3	-464395.90625	2696495	3	260.8376	1168.349	11.10341
3	-463395.90625	2696495	3	189.428	1164.498	17.44844
2	-462395.90625	2696495	2	212.3998	1160.747	17.11552
3	-461395.90625	2696495	3	36.11934	1157.096	3.276887
3	-488395.90625	2695495	3	151.3482	1275.591	22.51432
3	-487395.90625	2695495	3	81.1871	1271.711	18.07425
2	-486395.90625	2695495	2	341.0211	1267.686	44.98065
2	-485395.90625	2695495	2	54.74709	1263.529	16.29715
2	-484395.90625	2695495	2	97.66048	1259.252	12.17083
2	-483395.90625	2695495	2	64.00598	1254.87	9.551818
2	-482395.90625	2695495	2	17.77451	1250.396	15.3414
1	-481395.90625	2695495	1	29.25607	1245.845	19.0495
1	-480395.90625	2695495	1	86.82017	1241.231	5.150652
5	-479395.90625	2695495	5	18.43495	1236.567	 0.0
4	-478395.90625	2695495	4	-1	1231.866	 0.0
4	-477395.90625	2695495	4	-1	1227.144	 0.0
4	-476395.90625	2695495	4	-1	1222.412	 0.0
4	-475395.90625	2695495	4	-1	1217.683	 0.0
1	-474395.90625	2695495	1	-1	1212.968	 0.0
1	-473395.90625	2695495	1	315	1208.28	 0.0
2	-472395.90625	2695495	2	270	1203.629	0.2864765
3	-471395.90625	2695495	3	215.8698	1199.024	8.683986
5	-470395.90625	2695495	5	62.10273	1194.475	1.377367
1	-469395.90625	2695495	1	206.464	1189.99	17.58669
1	-468395.90625	2695495	1	165.774	1185.575	10.37678
3	-467395.90625	2695495	3	295.4892	1181.238	13.39727
3	-466395.90625	2695495	3	273.2155	1176.983	12.56313
3	-465395.90625	2695495	3	247.6199	1172.814	16.39048
3	-464395.90625	2695495	3	135	1168.736	 0.0
3	-463395.90625	2695495	3	149.6973	1164.749	12.56925
3	-462395.90625	2695495	3	175.1604	1160.856	28.73175
3	-461395.90625	2695495	3	182.7839	1157.055	30.62335
2	-460395.90625	2695495	2	167.0341	1153.346	20.46894
2	-459395.90625	2695495	2			
2	-487395.90625	2694495	2	339.479	1273.904	25.53943
2	-486395.90625	2694495	2	109.9354	1269.809	27.16941
2	-485395.90625	2694495	2	359.7347	1265.584	28.3693
2	-484395.90625	2694495	2	356.6188	1261.242	29.78018
2	-483395.90625	2694495	2	67.41269	1256.796	18.69899
2	-482395.90625	2694495	2	15.64225	1252.26	24.43355
1	-481395.90625	2694495	1	66.90871	1247.647	9.942611
1	-480395.90625	2694495	1	56.76829	1242.97	4.953713
5	-479395.90625	2694495	5	18.43495	1238.244	0.2264803
4	-478395.90625	2694495	4	-1	1233.481	 0.0
4	-477395.90625	2694495	4	-1	1228.695	 0.0
4	-476395.90625	2694495	4	-1	1223.896	 0.0
4	-475395.90625	2694495	4	-1	1219.099	 0.0
1	-474395.90625	2694495	1	-1	1214.313	 0.0
1	-473395.90625	2694495	1	288.4349	1209.55	 0.0
1	-472395.90625	2694495	1	279.0999	1204.82	 0.0
1	-471395.90625	2694495	1	-1	1200.132	 0.0
1	-470395.90625	2694495	1	-1	1195.494	 0.0
1	-469395.90625	2694495	1	-1	1190.915	 0.0
1	-468395.90625	2694495	1	-1	1186.4	 0.0
1	-467395.90625	2694495	1	237.9946	1181.957	4.04721
1	-466395.90625	2694495	1	251.8249	1177.589	19.22084
1	-465395.90625	2694495	1	166.6864	1173.301	18.6004
2	-464395.90625	2694495	2	166.3287	1169.096	10.77977
2	-463395.90625	2694495	2	200.5707	1164.975	10.30556
2	-462395.90625	2694495	2	205.4417	1160.94	15.91568
2	-461395.90625	2694495	2	144.517	1156.991	31.35932
3	-460395.90625	2694495	3	278.0632	1153.128	16.85657
3	-459395.90625	2694495	3			
2	-488395.90625	2693495	2	101.8972	1280.038	40.38635
2	-487395.90625	2693495	2	198.7101	1276.015	33.36698
2	-486395.90625	2693495	2	170.306	1271.853	33.4521
2	-485395.90625	2693495	2	24.83309	1267.561	27.25685
2	-484395.90625	2693495	2	146.1292	1263.155	23.73039
2	-483395.90625	2693495	2	116.1753	1258.647	4.697862
1	-482395.90625	2693495	1	186.4454	1254.049	16.73342
5	-481395.90625	2693495	5	102.9946	1249.375	19.30121
5	-480395.90625	2693495	5	79.69515	1244.639	3.199601
5	-479395.90625	2693495	5	71.56505	1239.852	2.037474
4	-478395.90625	2693495	4	45	1235.028	 0.0
5	-477395.90625	2693495	5	-1	1230.179	 0.0
5	-476395.90625	2693495	5	-1	1225.317	 0.0
5	-475395.90625	2693495	5	-1	1220.453	 0.0
1	-474395.90625	2693495	1	315	1215.598	0.1012855
1	-473395.90625	2693495	1	333.4349	1210.762	0.3202898
2	-472395.90625	2693495	2	-1	1205.955	 0.0
1	-471395.90625	2693495	1	-1	1201.186	 0.0
1	-470395.90625	2693495	1	-1	1196.462	 0.0
1	-469395.90625	2693495	1	-1	1191.791	 0.0
5	-468395.90625	2693495	5	-1	1187.179	 0.0
1	-467395.90625	2693495	1	225	1182.632	0.3038539
3	-466395.90625	2693495	3	218.6598	1178.153	12.6318
2	-465395.90625	2693495	2	-1	1173.748	 0.0
2	-464395.90625	2693495	2	18.68735	1169.418	10.17406
3	-463395.90625	2693495	3	339.8232	1165.166	41.48521
1	-462395.90625	2693495	1	5.345445	1160.992	40.65382
2	-461395.90625	2693495	2	30.47985	1156.897	14.24243
3	-460395.90625	2693495	3	260.7701	1152.881	11.45439
2	-459395.90625	2693495	2			
2	-489395.90625	2692495	2	201.6444	1286.058	22.95844
2	-488395.90625	2692495	2	188.096	1282.116	30.73897
2	-487395.90625	2692495	2	103.1611	1278.024	27.29621
2	-486395.90625	2692495	2	238.9812	1273.794	24.05241
2	-485395.90625	2692495	2	207.2929	1269.438	17.12109
3	-484395.90625	2692495	3	99.68879	1264.969	14.57196
2	-483395.90625	2692495	2	76.50426	1260.4	27.21215
2	-482395.90625	2692495	2	43.92918	1255.742	20.72505
5	-481395.90625	2692495	5	99.38151	1251.01	16.24599
5	-480395.90625	2692495	5	81.8699	1246.215	3.540482
5	-479395.90625	2692495	5	108.435	1241.37	1.13226
5	-478395.90625	2692495	5	108.435	1236.487	 0.0
5	-477395.90625	2692495	5	-1	1231.578	 0.0
5	-476395.90625	2692495	5	-1	1226.654	 0.0
5	-475395.90625	2692495	5	-1	1221.727	 0.0
2	-474395.90625	2692495	2	-1	1216.805	 0.0
3	-473395.90625	2692495	3	-1	1211.9	 0.0
2	-472395.90625	2692495	2	-1	1207.019	 0.0
2	-471395.90625	2692495	2	70.4928	1202.171	16.47425
1	-470395.90625	2692495	1	-1	1197.364	 0.0
1	-469395.90625	2692495	1	-1	1192.604	 0.0
1	-468395.90625	2692495	1	-1	1187.898	 0.0
3	-467395.90625	2692495	3	278.1301	1183.249	0.5064147
1	-466395.90625	2692495	1	326.6593	1178.663	6.487559
1	-465395.90625	2692495	1	278.0224	1174.143	10.65235
1	-464395.90625	2692495	1	13.69872	1169.692	18.25506
2	-463395.90625	2692495	2	298.3008	1165.311	19.32396
2	-462395.90625	2692495	2	182.8562	1161.002	8.747888
2	-461395.90625	2692495	2	15.41606	1156.764	7.66235
3	-460395.90625	2692495	3	18.43495	1152.598	20.38344
2	-489395.90625	2691495	2	102.8307	1288.08	35.77238
2	-488395.90625	2691495	2	260.0793	1284.067	43.54511
2	-487395.90625	2691495	2	139.7778	1279.906	30.72161
2	-486395.90625	2691495	2	265.1644	1275.611	30.04116
2	-485395.90625	2691495	2	84.32075	1271.193	24.45282
2	-484395.90625	2691495	2	254.9696	1266.663	29.21081
2	-483395.90625	2691495	2	222.0134	1262.034	10.71284
2	-482395.90625	2691495	2	68.25411	1257.32	25.59881
1	-481395.90625	2691495	1	87.26328	1252.53	33.20461
5	-480395.90625	2691495	5	133.6028	1247.68	8.250387
5	-479395.90625	2691495	5	-1	1242.779	 0.0
3	-478395.90625	2691495	3	26.56505	1237.84	 0.0
5	-477395.90625	2691495	5	315	1232.873	 0.0
1	-476395.90625	2691495	1	-1	1227.891	 0.0
2	-475395.90625	2691495	2	-1	1222.902	 0.0
2	-474395.90625	2691495	2	-1	1217.917	 0.0
2	-473395.90625	2691495	2	352.7111	1212.945	12.22977
3	-472395.90625	2691495	3	256.7391	1207.994	11.3995
1	-471395.90625	2691495	1	118.8774	1203.071	13.25376
5	-470395.90625	2691495	5	-1	1198.184	 0.0
1	-469395.90625	2691495	1	-1	1193.339	 0.0
1	-468395.90625	2691495	1	-1	1188.542	 0.0
